first name, last name, employee number, time-in, time-out, date, amount per hour
Sarah,Jenkins,66798,09:30 AM,08:50 PM,01/24/2022,18.45
Henry,Orlando,87654,05:41 AM,06:55 PM,01/24/2022,9.21
Jordan,Smalls,23474,09:08 AM,07:24 PM,01/24/2022,16.54
Henrietta,Little,56876,06:34 AM,08:59 PM,01/24/2022,12.76
John,Smith,34345,06:10 AM,06:55 PM,01/25/2022,14.87
Sarah,Jenkins,66798,08:32 AM,07:21 PM,01/25/2022,18.45
Henry,Orlando,87654,05:21 AM,06:46 PM,01/25/2022,9.21
Jordan,Smalls,23474,08:39 AM,07:32 PM,01/25/2022,16.54
Henrietta,Little,56876,07:24 AM,07:46 PM,01/25/2022,12.76
John,Smith,34345,06:43 AM,07:06 PM,01/26/2022,14.87
Sarah,Jenkins,66798,08:58 AM,06:30 PM,01/26/2022,18.45
Henry,Orlando,87654,09:13 AM,06:38 PM,01/26/2022,9.21
Jordan,Smalls,23474,08:30 AM,08:12 PM,01/26/2022,16.54
Henrietta,Little,56876,05:25 AM,06:11 PM,01/26/2022,12.76
John,Smith,34345,05:30 AM,04:43 PM,01/27/2022,14.87
Sarah,Jenkins,66798,07:37 AM,04:57 PM,01/27/2022,18.45
Henry,Orlando,87654,09:42 AM,06:29 PM,01/27/2022,9.21
Jordan,Smalls,23474,08:28 AM,04:40 PM,01/27/2022,16.54
Henrietta,Little,56876,07:34 AM,08:41 PM,01/27/2022,12.76
John,Smith,34345,06:35 AM,08:12 PM,01/28/2022,14.87
Sarah,Jenkins,66798,08:15 AM,06:55 PM,01/28/2022,18.45
Henry,Orlando,87654,05:25 AM,05:24 PM,01/28/2022,9.21
Jordan,Smalls,23474,08:23 AM,04:48 PM,01/28/2022,16.54
Henrietta,Little,56876,08:31 AM,07:42 PM,01/28/2022,12.76
John,Smith,34345,08:16 AM,08:35 PM,01/29/2022,14.87
Sarah,Jenkins,66798,09:33 AM,05:48 PM,01/29/2022,18.45
Henry,Orlando,87654,09:18 AM,08:41 PM,01/29/2022,9.21
Jordan,Smalls,23474,05:59 AM,06:00 PM,01/29/2022,16.54
Henrietta,Little,56876,07:49 AM,06:58 PM,01/29/2022,12.76
John,Smith,34345,06:08 AM,05:39 PM,01/30/2022,14.87
Sarah,Jenkins,66798,05:59 AM,06:25 PM,01/30/2022,18.45
Henry,Orlando,87654,06:22 AM,05:22 PM,01/30/2022,9.21
Jordan,Smalls,23474,09:22 AM,06:24 PM,01/30/2022,16.54
Henrietta,Little,56876,05:51 AM,06:58 PM,01/30/2022,12.76
John,Smith,34345,09:42 AM,07:34 PM,01/31/2022,14.87
Sarah,Jenkins,66798,09:13 AM,05:46 PM,01/31/2022,18.45
Henry,Orlando,87654,05:26 AM,06:38 PM,01/31/2022,9.21
Jordan,Smalls,23474,08:37 AM,04:07 PM,01/31/2022,16.54
Henrietta,Little,56876,06:22 AM,08:24 PM,01/31/2022,12.76
John,Smith,34345,06:52 AM,07:52 PM,02/01/2022,14.87
Sarah,Jenkins,66798,08:36 AM,06:42 PM,02/01/2022,18.45
Henry,Orlando,87654,07:26 AM,04:05 PM,02/01/2022,9.21
Jordan,Smalls,23474,05:35 AM,06:59 PM,02/01/2022,16.54
Henrietta,Little,56876,05:02 AM,06:56 PM,02/01/2022,12.76
John,Smith,34345,09:57 AM,04:09 PM,02/02/2022,14.87
Sarah,Jenkins,66798,05:45 AM,04:51 PM,02/02/2022,18.45
Henry,Orlando,87654,09:35 AM,08:09 PM,02/02/2022,9.21
Jordan,Smalls,23474,05:05 AM,08:24 PM,02/02/2022,16.54
Henrietta,Little,56876,07:22 AM,08:41 PM,02/02/2022,12.76
John,Smith,34345,09:03 AM,04:32 PM,02/03/2022,14.87
Sarah,Jenkins,66798,06:28 AM,04:46 PM,02/03/2022,18.45
Henry,Orlando,87654,05:06 AM,06:34 PM,02/03/2022,9.21
Jordan,Smalls,23474,09:44 AM,07:05 PM,02/03/2022,16.54
Henrietta,Little,56876,09:46 AM,08:09 PM,02/03/2022,12.76
